Country or Area,M49 code,ISO-alpha3 code,_ab_source_file_last_modified,_ab_source_file_url
Palau,585.0,PLW,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Panama,591.0,PAN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Papua New Guinea,598.0,PNG,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Paraguay,600.0,PRY,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Peru,604.0,PER,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Philippines,608.0,PHL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Pitcairn,612.0,PCN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Poland,616.0,POL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Portugal,620.0,PRT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Puerto Rico,630.0,PRI,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Qatar,634.0,QAT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Republic of Korea,410.0,KOR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Republic of Moldova,498.0,MDA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Reunion,638.0,REU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Romania,642.0,ROU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Russian Federation,643.0,RUS,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Rwanda,646.0,RWA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saint Bartholemy,652.0,BLM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saint Helena,654.0,SHN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saint Kitts and Nevis,659.0,KNA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saint Lucia,662.0,LCA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saint Martin (French Part),663.0,MAF,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saint Pierre and Miquelon,666.0,SPM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saint Vincent and the Grenadines,670.0,VCT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Samoa,882.0,WSM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
San Marino,674.0,SMR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Sao Tome and Principe,678.0,STP,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Saudi Arabia,682.0,SAU,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Senegal,686.0,SEN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Serbia,688.0,SRB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Seychelles,690.0,SYC,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Sierra Leone,694.0,SLE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
